岗位名称,公司名称,工作地点,薪资范围,学历要求,工作经验,岗位描述,技能要求,岗位分类,投递链接
产品设计,腾讯,深圳,10-21K,本科,不限,"1.负责 SSV 相关 To C 产品的全链路设计工作，涵盖用户研究、需求分析、产品体验梳理、交互设计及视觉设计，并推动设计方案高质量落地；
2.深入理解产品定位、业务目标及核心用户场景，与产品、研发及运营团队紧密协作，将复杂需求转化为清晰、易用且具有吸引力的产品体验；
3.具备产品视角和系统性设计思维，能够主动发现产品体验中的问题与机会，通过设计方案推动产品优化和创新；
4.围绕 AI 构建高效的设计工作流，沉淀可复用、可组合、可持续迭代的设计能力，提升团队整体工作效率与交付质量；
5.结合用户反馈、行为数据及业务结果评估设计效果，持续迭代产品体验，提升用户参与度、产品价值与社会影响力。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2078307645432971264
功能/产品框架方向,腾讯,深圳,10-21K,本科,不限,"1.产品框架定义与结构设计落地：主导核心的信息结构与产品框架设计。从用户投资决策动线出发，将用户炒股旅程需求的洞察与梳理转化为清晰的页面结构，定义模块优先级、层级关系与交互范式；并考量好运营、设计、研发等资源与优先级，合理调配资源与推动关键体验升级高质量落地；
2.用户体验与产品交互打磨：基于对用户心理与认知边界的深入理解，系统性优化产品的每一层体验细节；文案与用户心理的匹配、操作流程的简化梳理、即时反馈与流畅体验打磨、用户动线连贯、视觉层次对阅读优先级的引导，将产品策略与设计假设具象为产品结构；
3.中长期产品竞争力构建：洞察用户未被满足的深层需求，结合技术能力边界与行业趋势，制定产品功能的中长期演进路线。能跳出单功能视角，从产品整体竞争力维度思考""什么值得做、什么先做、什么不做""；
4.数据驱动与实验验证：建立核心功能的效果评估体系，通过AB实验、用户行为分析、线上反馈等多维数据持续验证设计假设，以实证而非直觉驱动产品迭代，对体验指标与业务结果负责。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2087007713627385856
数据中心项目建设管理,腾讯,北京,10-21K,本科,不限,"1.负责公司国内、海外数据中心项目建设管理工作，协助相关团队制订数据中心规划、选址、建设、运营计划、标准、管理规范；
2.能够与相关团队协作，共同制订 自建/合建租赁 项目的招采技术文件，对项目建设期间的安全、质量、进度负责；协调公司内外资源，推动项目按计划交付转维；
3.能够快速熟悉部门各类线上化平台的流程及使用说明，并利用线上化管理平台开展相应工作；
4.能够将自己在行业内的知识经验助力于后续的项目建设管理工作，并为团队输出有价值的文档、方案；
5.具有良好的沟通交流能力、方案计划制订及编写能力，能够准确理解公司内业务团队 及 外部合作方的需求，能够协调组织好各团队成员的角色分工与良好合作；具有较强的抗压能力，能持续在重压下，承担行业领先的项目管理及建设交付工作。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2038904311236423680
数据方向,腾讯,深圳,10-21K,本科,不限,"1. 数据驱动的场景落地：深入用户增长、商业化、大R运营等游戏运营场景，亲自基于数据发现问题、拆解需求，设计并落地 AI 解决方案，用数据验证效果、驱动迭代。
2. 从场景到闭环：识别高优先级场景→方案设计→快速试点→效果验证→复盘迭代，跑通端到端闭环，并沉淀为可复用、可推广的 AI 应用能力与工作流。
3. 提效与增长负责：对 AI 应用带来的运营提效、决策优化与业务增长结果负责，用可量化的数据说明价值。
4.方法沉淀与带动：把跑通的场景提炼成标准化方法（提示词、工作流、SOP），协同运营/研发/数据团队推广落地，带动团队整体的 AI 应用能力。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2090714694166949888
产品负责人,腾讯,深圳,10-21K,本科,不限,"1.负责Supercell手游和微信小游戏双版本的产品策略制定，基于KPI规划全年研发内容；
2.负责产品数据分析工作，能够通过数据深入的挖掘产品增长潜力；
3.负责产品活跃、商业化指标，制定各版本、节点的商业化、活跃策略；
4.负责产品上线推广、宣传等发行工作。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=1892828886954196992
在研UGC 产品负责人,腾讯,深圳,10-21K,本科,不限,"1.主导游戏UGC生态的整体规划与核心设计，制定UGC编辑器、玩法创作、内容分发、用户互动的全链路策略；
2.牵头UGC平台产品核心模块设计，基于玩家创作需求、关卡玩法创新及商业化场景；
3.负责核心UGC玩法策略制定，搭建玩法原型并完成逻辑编辑、效果验证；
4.建立UGC生态核心数据监控体系（创作量、内容曝光、用户留存、创作者活跃度等），结合用户反馈、竞品分析与产品战略，制定编辑器及UGC玩法的迭代路线图，持续优化创作体验与内容生态质量；
5.联动运营团队设计创作者分层运营策略、激励体系（如创作者等级、奖励机制、官方合作），挖掘并扶持核心创作者，提升用户创作热情与生态粘性，推动UGC内容与官方玩法深度融合。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=2056558934059302912
售前,腾讯,武汉,10-21K,本科,不限,"1.AI解决方案交付：负责AI产品售前、交付等环节的标准化建设与链路优化，推动产品的标准化制定与落地，提升产品交付效率，保障产品的交付质量；
2.DevOps体系建设：参与设计和优化持续集成/持续部署（CI/CD）流程，推动自动化运维平台的建设；
3.技术支持与保障：及时响应并处理线上问题，为用户提供专业的技术支持，保障系统稳定运行；
4.内容沉淀：编写严谨的技术文档，沉淀技术方案与最佳实践，并与产品、业务团队紧密协作，推动技术方案的产品化落地。",见岗位描述,其他,http://careers.tencent.com/jobdesc.html?postId=1984169735352377344
Ray,腾讯,北京,10-21K,本科,不限,"1.基于开源项目 Ray，打造业内领先的通用分布式计算引擎，包括但不限于以下方向：引擎内核（分布式Task调度与执行）、分布式数据处理框架、分布式在线服务编排框架等；
2.面向 Data + AI，支持和拓展以 Ray 为 infra 的多种业务场景，包括但不限于以下方向：数据科学、大模型训练数据管道服务、在线推理与离线推理、AI Agent与应用系统、隐私计算、图计算等；
3.与 K8S 深度融合，建设云原生环境下超大规模分布式系统的服务能力与平台化能力，为业务提供高可用、可扩展、高易用性的集群化服务；
4.参与开源共建与合作，提升团队与个人在业界的影响力。",Kubernetes、分布式、大模型,其他,http://careers.tencent.com/jobdesc.html?postId=1957998239076737024
银行管培生,中国工商银行,北京,15-25K,本科,应届,纳入星辰管培生培养计划，基层岗位轮岗锻炼，培养为初级管理人才。,金融、经济、管理、Python、数据分析,金融,https://job.icbc.com.cn
信贷及国际业务岗,中国进出口银行,北京,18-30K,硕士,应届,从事国际经济合作、信贷业务、绿色金融、ESG相关工作。,金融、国际贸易、英语六级450+、ESG,金融,http://www.eximbank.gov.cn
分行管培生,厦门银行,厦门,12-20K,硕士,应届,综合方向管培生，分行轮岗培养，未来从事管理类岗位。,金融、经济、财务、沟通能力,金融,https://www.xmccb.com
综合柜员岗,日照银行,日照,8-15K,本科,应届,从事柜面服务、客户接待、业务办理等工作。,金融、会计、服务意识、细心,金融,https://www.bankofrizhao.com.cn
绿色金融管培生,兴业银行,海口,15-25K,硕士,应届,绿色金融方向，从事政策研究、市场分析、产品创新、环境风险管理。,环境、能源、金融、ESG,金融,https://www.cib.com.cn
金融科技管培生,招商银行,深圳,20-35K,本科,应届,FinTech方向，从事银行科技系统开发、数据分析、数字化转型。,计算机、金融、Python、Java,金融,https://career.cmbchina.com
风控专员,哈尔滨银行,哈尔滨,10-18K,本科,应届,从事信贷风险审查、风险监测、不良资产管理。,金融、风险管理、数据分析,金融,https://www.hrbb.com.cn
机械设计工程师,嘉拓智能,深圳,12-22K,本科,应届,从事非标自动化设备机械设计，CAD绘图，客户技术对接。,机械设计、CAD、SolidWorks、英语,制造,https://www.katopauto.com.cn
设备工程师,欣旺达,义乌,10-18K,本科,应届,负责动力电池生产设备维护、工艺优化、故障排查。,机械、自动化、电气、设备维护,制造,https://www.sunwoda.com
工艺工程师,生益电子,东莞,10-20K,本科,应届,PCB生产工艺优化、新品导入、质量提升。,化工、材料、电子、工艺优化,制造,https://www.syelectronic.com
质量工程师,泰科电子,苏州,12-20K,本科,应届,冲压工艺质量管控，供应商质量管理，持续改进。,机械、材料、质量管理、英语四级,制造,https://www.te.com
模具工程师,比亚迪,深圳,10-18K,本科,应届,汽车模具设计与制造，冲压模具开发与维护。,模具设计、机械、CAD、UG,制造,https://job.byd.com
电气工程师,上海航天设备制造总厂,上海,15-28K,硕士,应届,航天产品电气系统设计，电机、传感器工艺技术攻关。,电气、自动化、电子、嵌入式,制造,https://www.spacechina.com
传感器应用工程师,芯联集成,上海,18-30K,硕士,应届,传感器应用方案设计，客户技术支持，产品验证。,电子、电力电子、传感器、模拟电路,制造,https://www.xmcwh.com
智能制造工程师,海尔,青岛,12-22K,本科,应届,智能工厂规划，工业机器人应用，生产数字化改造。,自动化、工业工程、机器人、PLC,制造,https://maker.haier.net
临床护士,清华大学医院,北京,8-15K,本科,应届,患者日常护理、病情观察，协助医生诊疗，健康教育。,护理学、护士资格证、沟通能力,医疗,https://www.tsinghua.edu.cn
护理人员,广州医科大学附属口腔医院,广州,8-15K,本科,应届,口腔临床护理，四手操作配合，院感防控。,护理学、口腔护理、护士资格证,医疗,https://www.gykq.com
临床医生,兰州市西固区中医医院,兰州,8-18K,本科,应届,中医临床诊疗，常见病诊治，慢病管理。,中医学、临床医学、执业医师资格,医疗,https://www.xgqzyyy.com
药剂师,大姚县中彝医医院,楚雄,6-12K,大专,应届,药品调剂、处方审核、用药指导、药品管理。,药学、中药学、药师资格证,医疗,https://www.dy.gov.cn
医学影像技师,北京丰台区卫健委,北京,10-18K,本科,应届,CT、MRI、DR等影像设备操作，影像质量控制。,医学影像技术、放射技术、设备操作,医疗,http://wjw.beijing.gov.cn
医药代表,恒瑞医药,南京,10-20K,本科,应届,药品学术推广，客户维护，市场信息收集。,药学、医学、市场营销、沟通能力,医疗,https://www.hrs.com.cn
高校教师,西安医学院,西安,12-25K,硕士,应届,教学科研岗位，承担课程教学、科研项目、学生指导。,医学、教学能力、科研能力,教育,https://www.xiyi.edu.cn
思政教师,邯郸应用技术职业学院,邯郸,8-15K,硕士,应届,思想政治理论课教学，学生思想政治教育。,思想政治教育、中共党员、教学能力,教育,https://www.hdyy.edu.cn
高中教师,大庆铁人中学,大庆,8-15K,本科,应届,高中课程教学，班主任工作，学生管理。,学科教育、教师资格证、班级管理,教育,https://www.dqtrzx.com
辅导员,北京服装学院,北京,10-18K,硕士,应届,学生日常管理，思想政治教育，就业指导，党团建设。,思想政治、中共党员、学生工作经验,教育,https://www.bift.edu.cn
新媒体运营,成都传媒集团,成都,8-15K,本科,应届,公众号、短视频平台内容运营，用户增长，数据分析。,新媒体、文案、短视频、数据分析,传媒,https://www.cdcmg.com
内容编辑,网易新闻,北京,10-18K,本科,应届,新闻内容采编，专题策划，稿件撰写与审核。,新闻、中文、文案、编辑能力,传媒,https://campus.163.com
策划专员,蓝色光标,上海,10-20K,本科,应届,品牌活动策划，客户提案，项目执行与复盘。,广告、市场营销、策划、PPT,传媒,https://www.bluefocus.com
视频剪辑师,抖音,北京,12-22K,本科,应届,短视频内容剪辑，特效制作，账号内容产出。,PR、AE、剪辑、创意,传媒,https://jobs.bytedance.com
零售管培生,永辉超市,福州,8-15K,本科,应届,门店轮岗培养，未来担任门店管理岗位，负责运营管理。,工商管理、连锁经营、沟通能力,零售,https://www.yonghui.com.cn
采购专员,京东,北京,12-22K,本科,应届,商品采购，供应商管理，价格谈判，库存优化。,采购、供应链、谈判、数据分析,零售,https://campus.jd.com
快消管培生,宝洁,广州,15-28K,本科,应届,品牌管理、市场营销、供应链等方向轮岗培养。,市场营销、英语、领导力、数据分析,零售,https://www.pg.com.cn
店长助理,名创优品,深圳,7-13K,大专,应届,协助店长门店运营，人员管理，商品陈列，销售达成。,零售管理、服务意识、执行力,零售,https://www.miniso.com
土建工程师,中国建筑,全国,10-20K,本科,应届,房建项目施工管理，技术方案编制，现场质量安全管控。,土木工程、施工管理、CAD、建造师,建筑,https://www.cscec.com
造价工程师,广联达,北京,12-22K,本科,应届,工程造价咨询，招投标文件编制，成本控制。,工程造价、广联达软件、定额,建筑,https://www.glodon.com
结构设计师,华东建筑设计研究院,上海,15-28K,硕士,应届,建筑结构设计，施工图绘制，技术规范执行。,结构工程、PKPM、YJK、注册结构,建筑,https://www.adri.com.cn
化工工程师,万华化学,烟台,15-28K,硕士,应届,化工工艺开发，生产优化，安全环保管理。,化学工程、工艺设计、Aspen,能源,https://www.whchem.com
环保工程师,北控水务,北京,10-20K,本科,应届,污水处理工艺设计，环保设施运营，达标排放管理。,环境工程、水处理、环保法规,能源,https://www.bewg.net
电力工程师,国家电网,全国,12-25K,本科,应届,电网运行维护，变电检修，电力调度。,电气工程、电力系统、继电保护,能源,https://zhaopin.sgcc.com.cn
新能源工程师,宁德时代,宁德,15-30K,硕士,应届,动力电池研发，电化学测试，新材料开发。,电化学、材料、电池技术,能源,https://www.catl.com
供应链管培生,顺丰,深圳,12-22K,本科,应届,物流网络规划，运营管理，供应链优化。,物流管理、供应链、数据分析,物流,https://campus.sf-express.com
仓储管理,菜鸟网络,杭州,10-18K,本科,应届,仓库运营管理，库存准确率，自动化设备应用。,物流、仓储管理、WMS系统,物流,https://campus.cainiao.com
人力资源管培生,华为,深圳,15-28K,本科,应届,HR各模块轮岗，招聘、培训、绩效、员工关系。,人力资源、心理学、沟通能力,职能,https://career.huawei.com
财务管培生,美的集团,佛山,12-22K,本科,应届,财务核算、预算管理、财务分析、资金管理轮岗。,会计、财务、CPA、Excel,职能,https://www.midea.com
法务专员,腾讯,深圳,18-35K,硕士,应届,合同审核，知识产权管理，合规审查，诉讼支持。,法学、法律职业资格、英语,职能,https://careers.tencent.com
